location,tier,description,address,latitude,longitude
Avenue Steaks & Pizza,5,,"2655 S Juniper St, Philadelphia, PA 19148",39.9168539,-75.1700104
Tony and Nick's Steaks,5,,"39 E Oregon Ave, Philadelphia, PA 19148",39.91412,-75.1486488
Frizwit,5,,"100 Morris St, Philadelphia, PA 19148",39.9263366,-75.1474124
SQ Philip's Steaks,5,,"2234 W Passyunk Ave #3318, Philadelphia, PA 19145",39.9226174,-75.184822
Oh Brother Philly,5,,"206 Market St, Philadelphia, PA 19106",39.9496989,-75.1441608
Sonny's Famous Steaks,5,,"228 Market St, Philadelphia, PA 19106",39.949782,-75.1448014
Joe's Steaks + Soda Shop,5,,"1 W Girard Ave, Philadelphia, PA 19125",39.9690049,-75.1345739
Max's Steaks,5,,"3653 Germantown Ave, Philadelphia, PA 19140",40.0089586,-75.1504451
Shank's Original,5,,"901 S Christopher Columbus Blvd, Philadelphia, PA 19147",39.9348071,-75.1420536
John's Roast Pork,4,,"14 E Snyder Ave, Philadelphia, PA 19148",39.9214442,-75.1444593
Pat's King of Steaks,4,,"1237 E Passyunk Ave, Philadelphia, PA 19147",39.9331995,-75.1592409
Geno's Steaks,4,,"1219 S 9th St, Philadelphia, PA 19147",39.9337883,-75.1588475
Cleavers,4,,"108 S 18th St, Philadelphia, PA 19103",39.9514103,-75.1706011
Dalessandro's Steaks,4,,"600 Wendover St, Philadelphia, PA 19128",40.0294892,-75.2059682
The Fresh Works,3,,"2101 Reed St, Philadelphia, PA 19146",39.93453584,-75.17942387
Ishkabibble's II,3,,"517 South St, Philadelphia, PA 19147",39.9419783,-75.1514209
Cosmi's Deli,3,,"1501 S 8th St, Philadelphia, PA 19147",39.9302666,-75.1579987
Pizza Plus South,3,,"1846 S 12th St, Philadelphia, PA 19148",39.9264873,-75.16565337
Woodrow's Sandwich Shop,2,,"630 South St, Philadelphia, PA 19147",39.9419706,-75.1532384
Jim's South St,2,,"400 South St, Philadelphia, PA 19147",39.9414981,-75.1493058
Jaxx Steaks Taproom,2,,"242 Wharton St, Philadelphia, PA 19147",39.9315261,-75.14963704
Nifty Fifty's,2,,"2700 S 10th St, Philadelphia, PA 19148",39.91579027,-75.16481433
Nipotina,1,Bold uses of flavors executed perfectly.,"2238 S 21st St, Philadelphia, PA 19145",39.92351396,-75.18188571
Rocco's Italian Sausage & Cheese Steaks,1,"Half italian sausage half steak, what more do you need to know?","1491 S Delaware Ave, Philadelphia, PA 19148",39.9114767,-75.1369263
Angelo's Pizzeria,1,They bake their own bread.,"736 S 9th St, Philadelphia, PA 19147",39.9406411,-75.1577173
Shay's Steaks,1,,"200 N 16th St, Philadelphia, PA 19102",39.95682361,-75.16637648
